Domain of Expertise,Rating (Theory),Rating (Practical),Interest,My thoughts.
Postman,50,60,70,Using it for testing APIs.
Jupyter Notebook,95,95,100,favourite tool … 🙂
Canva,70,80,80,Using it …
Docker,75,75,80,Used with AWS for deploying machine learning projects.
AWS,60,68,96,"Deployed project till it’s free. "
Git and GitHub,87,90,100,Using it daily.
Heroku,90,95,100,Deployed Django project with postgres database.
Linux / Ubuntu,90,94,100,Using it daily and my favourite distro.
