Domain of Expertise,Rating (Theory),Rating (Practical),Interest,"Projects "
,,,,
JavaScript,53,64,65,Using in ReactJs for web development.
C / C++,80,84,80,Used for DSA and built command line games like Snake game.
Python,90,96,100,Made many projects and using it daily.
