Domain of Expertise,Rating (Theory),Rating (Practical),Interest,What I think?
Fast API,70,70,90,Using to build API for machine learning models when I don’t need any database.
Django-rest-framework,75,78,85,"Building API, best framework i thought."
Django,85,88,95,Built many project (Look at Project Section)
CSS,60,65,70,Same as above
HTML,85,87,90,Using it in every web development project.
React,50,60,75,"Absolutely, feeding API using this."
